"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response"
"[{""page_index"":0,""viewing_time"":223}]","223","Instructions","CRTv","instructions","97","50418","0.0-106.0","",""
"","427","CRTv_01","CRTv","survey-text","98","50847","0.0-107.0","{""Q0"":""1. El papá de María tiene 5 hijas y ningún hijo: Nana, Nene, Nini, Nono ¿Cuál es probablemente el nombre de la quinta hija?""}","{""Q0"":""c2gck3BUJZRX40JJy0PkkT0HANnqvo7AiAzcbPifb98GlEyFbX1xcB5aKdlcK9ZB0R""}"
"","421","CRTv_02","CRTv","survey-text","99","51271","0.0-108.0","{""Q0"":""2. Si estuvieras corriendo una carrera y pasaras a la persona en segundo lugar ¿En qué lugar quedarías?""}","{""Q0"":""E5iCU7OlFWTjoqMFCb2L3Jt72GuVYPYEiHYF7ndfBuSPNSyvwhsJHjZSkb7""}"
"","378","CRTv_03","CRTv","survey-text","100","51651","0.0-109.0","{""Q0"":""3. En una noche de tormenta un avión despega desde Nueva York. La tormenta empeora y el avión se estrella. La mitad cae en los Estados Unidos y la otra mitad en Canadá ¿En qué país enterrarías a los sobrevivientes?""}","{""Q0"":""DHljWT4gaVg5BwjYJNKYrySQjKYqVY8DkEt94ly5v""}"
"","375","CRTv_04","CRTv","survey-text","101","52027","0.0-110.0","{""Q0"":""4. Un mono, una ardilla, y un pájaro están haciendo una carrera hacia la punta de un manzano ¿Quién obtendrá el plátano primero? ¿El mono, la ardilla o el pájaro?""}","{""Q0"":""q""}"
"","391","CRTv_05","CRTv","survey-text","102","52421","0.0-111.0","{""Q0"":""5. En una casa de un piso color rojo, había una persona roja, un gato rojo, un pez rojo, un computador rojo, una silla roja, una tabla roja, un teléfono rojo, una ducha roja ¡Todo era de color rojo! ¿De qué color son probablemente las escaleras?""}","{""Q0"":""76PTLV""}"
"","366","CRTv_06","CRTv","survey-text","103","52789","0.0-112.0","{""Q0"":""6. ¿Qué número de cada animal puso Moisés en el arca?""}","{""Q0"":""FKlVa2vFfbrNDJUsYsu0dDYsDeR4MOFdg0S2hYr2vN5ixG""}"
"","369","CRTv_07","CRTv","survey-text","104","53159","0.0-113.0","{""Q0"":""7. El viento fluye en dirección oeste. Un tren eléctrico viaja hacia el este ¿En qué dirección cardinal viaja el humo de la locomotora?""}","{""Q0"":""dozBe3r5wEmDBu2hDmj7gf""}"
"","383","CRTv_08","CRTv","survey-text","105","53543","0.0-114.0","{""Q0"":""8. Si tienes solo un fósforo y caminas a una habitación oscura donde hay aceite de lámpara, un periódico y madera ¿Qué cosa prenderías primero?""}","{""Q0"":""rN4jLq2UyQB1TG6VDUN9Ytms""}"
"","407","CRTv_09","CRTv","survey-text","106","53952","0.0-115.0","{""Q0"":""9. ¿Sería ético que un hombre se casara con la hermana de su viuda?""}","{""Q0"":""o97QbXuVsiXZ4whq6Whqlt0txCQI3XZcVkOvNVOxMm1IvhevAyLV5v""}"
"","373","CRTv_10","CRTv","survey-text","107","54327","0.0-116.0","{""Q0"":""10. ¿Cuál de las oraciones es correcta? a) ‘La yema del huevo son blancas’ o b) ‘La yema del huevo es blanca’""}","{""Q0"":""MB6Clc""}"
